연도,주차,연령대,의사환자 분율,입원환자 수,인플루엔자 검출률,예방접종률,응급실 인플루엔자 환자,아형
2018.0,16.0,0-6세,,,3.6,,,A(H1N1)pdm09
2018.0,16.0,0세,4.1,6.0,,,,A(H1N1)pdm09
2018.0,16.0,1-6세,8.7,21.0,,,,A(H1N1)pdm09
2018.0,16.0,13-18세,6.4,2.0,0.0,,,A(H1N1)pdm09
2018.0,16.0,19-49세,6.6,6.0,2.0,,,A(H1N1)pdm09
2018.0,16.0,50-64세,4.1,8.0,0.0,,,A(H1N1)pdm09
2018.0,16.0,65-69세,,,,77.6,,A(H1N1)pdm09
2018.0,16.0,65세 이상,,,,83.2,,A(H1N1)pdm09
2018.0,16.0,65세이상,1.3,18.0,0.0,,,A(H1N1)pdm09
2018.0,16.0,7-12세,8.6,47.0,8.3,,,A(H1N1)pdm09
2018.0,16.0,70-74세,,,,85.1,,A(H1N1)pdm09
2018.0,16.0,75세 이상,,,,86.2,,A(H1N1)pdm09
2018.0,17.0,0-6세,,,2.6,,,A(H1N1)pdm09
2018.0,17.0,0세,5.5,6.0,,,,A(H1N1)pdm09
2018.0,17.0,1-6세,8.4,21.0,,,,A(H1N1)pdm09
2018.0,17.0,13-18세,3.9,2.0,0.0,,,A(H1N1)pdm09
2018.0,17.0,19-49세,9.5,7.0,6.3,,,A(H1N1)pdm09
2018.0,17.0,50-64세,7.0,4.0,0.0,,,A(H1N1)pdm09
2018.0,17.0,65-69세,,,,77.7,,A(H1N1)pdm09
2018.0,17.0,65세 이상,,,,83.2,,A(H1N1)pdm09
2018.0,17.0,65세이상,5.5,7.0,0.0,,,A(H1N1)pdm09
2018.0,17.0,7-12세,8.9,36.0,26.3,,,A(H1N1)pdm09
2018.0,17.0,70-74세,,,,85.1,,A(H1N1)pdm09
2018.0,17.0,75세 이상,,,,86.3,,A(H1N1)pdm09
2018.0,18.0,0-6세,,,2.0,,,A(H1N1)pdm09
2018.0,18.0,0세,6.7,9.0,,,,A(H1N1)pdm09
2018.0,18.0,1-6세,9.5,24.0,,,,A(H1N1)pdm09
2018.0,18.0,13-18세,6.3,3.0,0.0,,,A(H1N1)pdm09
2018.0,18.0,19-49세,6.0,6.0,4.3,,,A(H1N1)pdm09
2018.0,18.0,50-64세,4.0,7.0,0.0,,,A(H1N1)pdm09
2018.0,18.0,65-69세,,,,77.7,,A(H1N1)pdm09
2018.0,18.0,65세 이상,,,,83.2,,A(H1N1)pdm09
2018.0,18.0,65세이상,0.9,11.0,0.0,,,A(H1N1)pdm09
2018.0,18.0,7-12세,10.7,44.0,11.1,,,A(H1N1)pdm09
2018.0,18.0,70-74세,,,,85.1,,A(H1N1)pdm09
2018.0,18.0,75세 이상,,,,86.3,,A(H1N1)pdm09
2018.0,19.0,0-6세,,,3.1,,,A(H1N1)pdm09
2018.0,19.0,0세,5.9,4.0,,,,A(H1N1)pdm09
2018.0,19.0,1-6세,8.7,5.0,,,,A(H1N1)pdm09
2018.0,19.0,13-18세,5.5,2.0,0.0,,,A(H1N1)pdm09
2018.0,19.0,19-49세,6.7,6.0,2.2,,,A(H1N1)pdm09
2018.0,19.0,50-64세,4.4,3.0,0.0,,,A(H1N1)pdm09
2018.0,19.0,65세이상,1.5,8.0,0.0,,,A(H1N1)pdm09
2018.0,19.0,7-12세,9.6,32.0,10.0,,,A(H1N1)pdm09
2018.0,20.0,0-6세,,,1.9,,,A(H1N1)pdm09
2018.0,20.0,0세,6.5,6.0,,,,A(H1N1)pdm09
2018.0,20.0,1-6세,9.5,5.0,,,,A(H1N1)pdm09
2018.0,20.0,13-18세,7.1,0.0,0.0,,,A(H1N1)pdm09
2018.0,20.0,19-49세,5.8,5.0,2.6,,,A(H1N1)pdm09
2018.0,20.0,50-64세,3.6,5.0,0.0,,,A(H1N1)pdm09
2018.0,20.0,65세이상,2.1,4.0,0.0,,,A(H1N1)pdm09
2018.0,20.0,7-12세,8.7,29.0,25.0,,,A(H1N1)pdm09
2018.0,21.0,0-6세,,,1.1,,,A(H1N1)pdm09
2018.0,21.0,0세,3.9,5.0,,,,A(H1N1)pdm09
2018.0,21.0,1-6세,8.3,9.0,,,,A(H1N1)pdm09
2018.0,21.0,13-18세,9.1,1.0,0.0,,,A(H1N1)pdm09
2018.0,21.0,19-49세,5.3,1.0,0.0,,,A(H1N1)pdm09
2018.0,21.0,50-64세,3.3,8.0,0.0,,,A(H1N1)pdm09
2018.0,21.0,65세이상,1.8,8.0,0.0,,,A(H1N1)pdm09
2018.0,21.0,7-12세,9.8,37.0,42.9,,,A(H1N1)pdm09
2018.0,22.0,0-6세,,,3.5,,,A(H1N1)pdm09
2018.0,22.0,0세,6.6,3.0,,,,A(H1N1)pdm09
2018.0,22.0,1-6세,8.2,3.0,,,,A(H1N1)pdm09
